rank,expert,slot,mean_combine_weight,mean_routing_logit
127,20,2,9.476427e-04,-2.130221e+00
128,16,9,9.466278e-04,-5.682195e-01
129,2,9,9.403828e-04,3.011434e-01
130,29,2,9.386420e-04,-1.865802e-01
131,7,5,9.378699e-04,-1.080307e+00
132,11,2,9.287139e-04,7.686540e-01
133,25,8,9.218734e-04,-7.121562e-01
134,5,5,9.103092e-04,6.482002e-01
135,12,7,9.080162e-04,4.499078e-02
136,9,9,9.063030e-04,5.917994e-01
137,13,4,8.923436e-04,3.615534e-01
138,27,4,8.826012e-04,-4.990367e-01
139,26,6,8.531015e-04,1.952543e+00
140,12,1,8.186714e-04,-8.708026e-02
141,3,3,7.682260e-04,1.704606e+00
142,5,4,7.660116e-04,2.017405e-01
143,14,0,7.395798e-04,-7.520498e-01
144,29,9,7.298651e-04,-3.330744e-01
145,16,8,7.218270e-04,-4.768688e-01
146,1,1,7.204342e-04,2.911953e-01
147,24,2,6.866186e-04,-1.787718e-02
148,12,0,6.832443e-04,-7.205270e-01
149,28,3,6.645173e-04,-6.671203e-01
150,8,7,6.644117e-04,1.327065e+00
151,16,1,6.541578e-04,7.224951e-02
152,3,4,6.385069e-04,-8.752075e-01
153,13,1,6.298143e-04,7.323344e-01
154,27,6,6.282700e-04,-3.093968e-01
155,0,4,6.249006e-04,3.562082e-01
156,17,6,6.193281e-04,6.677389e-01
157,13,9,6.162068e-04,-5.910393e-01
158,10,4,6.072599e-04,-6.990694e-01
159,25,0,6.020428e-04,6.271057e-02
160,28,7,5.885782e-04,9.746545e-01
161,15,9,5.871009e-04,-6.757771e-01
162,29,3,5.830755e-04,3.306216e-01
163,19,0,5.812966e-04,-7.038765e-01
164,9,4,5.779714e-04,-1.979912e+00
165,18,6,5.778341e-04,-8.983914e-02
166,27,9,5.703239e-04,-1.378928e+00
167,16,4,5.643977e-04,-1.059809e+00
168,10,8,5.308160e-04,1.455311e-01
169,8,4,5.261450e-04,-4.487609e-01
170,20,7,5.247978e-04,8.157454e-01
171,4,1,5.203710e-04,-1.264928e+00
172,26,7,5.182893e-04,-3.395885e-01
173,5,7,5.173800e-04,1.783835e-01
174,15,6,5.054079e-04,-8.264364e-01
175,0,7,4.967783e-04,-3.969802e-01
176,26,3,4.920397e-04,-1.420713e-01
177,26,0,4.796612e-04,-4.542884e-01
178,6,4,4.765140e-04,-7.864901e-02
179,4,7,4.651987e-04,-1.083507e+00
180,20,9,4.646623e-04,4.463814e-01
181,20,3,4.585561e-04,8.476647e-01
182,27,0,4.566919e-04,-6.314953e-02
183,23,1,4.532212e-04,-5.852360e-01
184,7,9,4.511084e-04,-1.107262e+00
185,1,7,4.473660e-04,6.898065e-01
186,19,1,4.452011e-04,9.832346e-01
187,16,7,4.431470e-04,1.691329e+00
188,14,4,4.361001e-04,1.054426e+00
189,22,1,4.286162e-04,-5.192696e-01
190,18,5,4.217249e-04,6.859268e-01
191,23,7,4.195554e-04,-5.973711e-01
192,24,9,4.179059e-04,7.945660e-02
193,7,4,4.162537e-04,-1.795955e-01
194,0,3,4.139564e-04,-1.111940e+00
195,1,4,4.131861e-04,-2.907872e-01
