rank,expert,slot,mean_combine_weight,mean_routing_logit
212,24,7,1.284543e-03,-5.253928e-01
213,3,5,1.247839e-03,-2.185996e-01
214,19,6,1.200810e-03,-7.219560e-02
215,7,7,1.175349e-03,-8.588227e-01
216,10,1,1.174920e-03,3.789830e-01
217,0,0,1.173624e-03,-2.865071e-01
218,6,1,1.171211e-03,-8.890882e-01
219,16,9,1.156858e-03,-5.432988e-01
220,11,4,1.139352e-03,-9.005515e-02
221,16,4,1.127393e-03,-9.694566e-01
222,25,1,1.121338e-03,-1.187820e+00
223,21,4,1.108189e-03,-6.668788e-01
224,18,6,1.103843e-03,-2.067458e-01
225,4,7,1.101031e-03,-4.125461e-01
226,6,3,1.098703e-03,-5.374858e-01
227,24,6,1.097195e-03,-4.606012e-01
228,8,2,1.093663e-03,-3.511609e-01
229,11,6,1.082454e-03,-6.047794e-01
230,3,8,1.080136e-03,-7.499030e-01
231,10,2,1.074893e-03,6.154940e-02
232,16,0,1.040651e-03,-3.554169e-01
233,1,3,1.040382e-03,-1.471853e-01
234,18,3,1.039986e-03,-9.568691e-01
235,14,2,1.038889e-03,-1.784405e-01
236,29,4,1.034761e-03,-3.757089e-01
237,25,2,1.033644e-03,-9.154065e-01
238,5,6,1.019107e-03,-1.527494e-01
239,20,3,1.016439e-03,-5.416616e-01
240,2,4,1.004016e-03,-3.344868e-01
241,13,1,1.002763e-03,-6.086424e-01
242,12,8,9.901458e-04,-3.233850e-01
243,17,7,9.864788e-04,-1.167857e+00
244,20,4,9.833480e-04,-1.253641e+00
245,17,1,9.791190e-04,-1.312171e+00
246,29,9,9.698699e-04,-3.400939e-01
247,4,6,9.687180e-04,-1.156219e+00
248,22,1,9.162802e-04,-4.657003e-01
249,12,0,9.022609e-04,-1.081314e+00
250,14,6,9.014859e-04,3.450105e-01
251,21,3,8.863558e-04,-1.498912e+00
252,10,5,8.844658e-04,-6.208255e-01
253,19,9,8.765722e-04,-2.950077e-01
254,14,4,8.761543e-04,2.729287e-01
255,1,9,8.745646e-04,-3.013317e-01
256,27,7,8.695258e-04,-9.158123e-01
257,17,8,8.550180e-04,-2.685034e-01
258,23,7,8.545264e-04,4.041850e-01
259,28,8,8.528278e-04,-6.525092e-02
260,22,2,8.399556e-04,-4.660430e-01
