rank,expert,slot,mean_combine_weight,mean_routing_logit
192,18,2,1.162253e-03,-1.243455e+00
193,4,0,1.159068e-03,8.046186e-01
194,24,9,1.146245e-03,-2.333564e+00
195,2,2,1.145623e-03,-4.890341e-01
196,19,6,1.143928e-03,-8.476934e-01
197,22,5,1.119421e-03,-8.629121e-01
198,13,3,1.107440e-03,1.028867e-01
199,17,8,1.098641e-03,-8.126217e-01
200,29,6,1.093222e-03,3.847149e-01
201,17,6,1.091247e-03,5.864902e-02
202,8,3,1.089913e-03,3.571134e-01
203,24,4,1.084548e-03,-8.478033e-01
204,9,4,1.068641e-03,5.842540e-01
205,14,0,1.061663e-03,-7.885423e-02
206,13,1,1.054466e-03,1.332214e-01
207,6,8,1.022278e-03,-8.913333e-01
208,4,9,9.963843e-04,4.834199e-01
209,7,4,9.783296e-04,-7.859018e-01
210,22,7,9.348624e-04,-1.275444e+00
211,3,4,9.274439e-04,2.495072e-01
212,21,0,9.128730e-04,3.606312e-01
213,17,3,9.105444e-04,-8.972856e-01
214,4,4,9.002513e-04,-4.976057e-03
215,9,7,8.794199e-04,4.466236e-01
216,17,5,8.723967e-04,-4.008750e-01
217,19,5,8.670299e-04,-6.616091e-01
218,15,6,8.608290e-04,-5.005081e-01
219,4,2,8.537674e-04,-2.184729e-01
220,22,0,8.494095e-04,3.380646e-01
221,15,8,8.445832e-04,-3.181260e-01
222,24,3,8.429700e-04,3.126960e-01
223,16,2,8.376879e-04,5.021817e-01
224,12,4,8.367945e-04,-2.571307e-01
225,6,6,8.253518e-04,-5.071919e-01
226,7,3,8.181501e-04,1.637987e-01
227,10,4,8.177109e-04,5.205979e-01
228,8,1,8.123843e-04,-2.498464e+00
229,0,6,8.061396e-04,3.783748e-01
230,22,2,7.936268e-04,-1.805694e+00
231,4,7,7.931992e-04,-1.017331e+00
232,8,4,7.804647e-04,3.235786e-01
233,10,8,7.726045e-04,-8.714538e-01
234,22,8,7.664951e-04,-1.411968e+00
235,6,4,7.518710e-04,1.098170e+00
236,11,4,7.435128e-04,-4.983031e-01
237,18,6,7.429466e-04,-6.354116e-01
238,16,9,7.173849e-04,-4.563743e-01
239,9,9,7.143433e-04,-5.537513e-01
240,5,9,7.046285e-04,2.777773e-01
241,29,9,7.027701e-04,-4.957204e-02
242,16,5,6.867230e-04,-6.743489e-01
243,8,6,6.809665e-04,-2.292387e+00
244,0,0,6.768105e-04,-2.354810e-01
245,21,5,6.743369e-04,-6.839359e-01
246,16,1,6.719962e-04,-9.106907e-02
247,27,8,6.578208e-04,4.115628e-01
248,28,2,6.499981e-04,-1.061016e+00
249,19,3,6.489458e-04,-8.164739e-02
250,20,6,6.484238e-04,-3.606633e-01
251,19,9,6.365485e-04,9.086072e-01
252,15,9,6.030099e-04,-1.020083e+00
253,27,5,5.944633e-04,-5.086315e-01
254,14,3,5.652292e-04,-5.460145e-02
255,14,4,5.641404e-04,1.552028e-02
256,16,8,5.598649e-04,-4.982451e-01
257,27,0,5.543527e-04,-1.184496e+00
258,25,4,5.460259e-04,-1.782348e+00
259,28,4,5.421404e-04,-6.935380e-01
260,26,7,5.408252e-04,-1.101989e+00
261,27,6,5.392625e-04,-1.337942e+00
262,3,2,5.346509e-04,-1.949304e-02
263,27,1,5.333286e-04,-1.169173e+00
264,14,5,5.326210e-04,-4.062245e-02
265,1,1,5.215463e-04,-1.214938e+00
266,18,3,5.194504e-04,-6.329073e-01
267,1,3,5.097527e-04,-4.353598e-01
268,26,3,5.080269e-04,-6.437772e-01
269,14,9,5.062469e-04,-1.295430e+00
270,11,0,5.013776e-04,-1.090155e+00
271,28,6,4.949583e-04,-8.338563e-01
272,9,6,4.892116e-04,-3.169181e-01
273,7,0,4.592068e-04,-2.196745e+00
274,17,4,4.562698e-04,-9.162573e-01
275,29,0,4.553853e-04,-8.356676e-01
276,4,6,4.459701e-04,-7.385389e-01
277,14,8,4.294641e-04,-1.446166e+00
278,8,9,4.174847e-04,-1.704181e-01
279,24,0,4.171855e-04,-2.071396e+00
280,16,4,4.165106e-04,-2.461849e-01
