ckpt,rol,split_129741,universo,n_universo,n_clases,cabeza,es_cabeza_verdadera,es_cabeza_predicha,pred,grupo,n_parches,grupo_de_interes,auc_ranking,percentil_mediano,percentil_medio,p_permutacion,p_traslacion,n_traslaciones,auc_nula_media
seba_5fold_f0,primario,val,lamina,4799,4,score_1,False,False,score_2,Immune cells,23,False,0.42710836792658946,35.72321800750313,42.744259383438745,,,,
seba_5fold_f0,primario,val,lamina,4799,4,score_1,False,False,score_2,Tumor,48,False,0.795301866273767,80.05418924551897,79.2409163540364,,,,
seba_5fold_f0,primario,val,lamina,4799,4,score_1,False,False,score_2,necrosis,18,False,0.6378605126774965,63.70362651104627,63.73720531703025,,,,
seba_5fold_f0,primario,val,lamina,4799,4,score_1,False,False,score_2,Stroma,12,False,0.7064967620639231,69.26844518549396,70.60233430596081,,,,
seba_5fold_f0,primario,val,lamina,4799,4,score_1,False,False,score_2,Tejido Adiposo,27,False,0.19191425289497377,19.362234264276783,19.35837463140506,,,,
seba_5fold_f0,primario,val,region_anotada,2496,4,score_1,False,False,score_2,Nucleos alto grado,13,True,0.891942129557917,92.18436873747495,89.00570371512255,,,,
seba_5fold_f0,primario,val,region_anotada,2496,4,score_1,False,False,score_2,Mitosis,28,True,0.8815408659411901,88.29659318637275,87.74119667907243,,,,
seba_5fold_f0,primario,val,region_anotada,2496,4,score_1,False,False,score_2,Immune cells,23,False,0.44547196680673007,37.99599198396793,44.59527751154483,,,,
seba_5fold_f0,primario,val,region_anotada,2496,4,score_1,False,False,score_2,Tumor,48,False,0.8133765659041394,81.98396793587175,80.74732798931196,,,,
seba_5fold_f0,primario,val,region_anotada,2496,4,score_1,False,False,score_2,necrosis,18,False,0.6551430364989687,64.86973947895791,65.40859496771321,,,,
seba_5fold_f0,primario,val,region_anotada,2496,4,score_1,False,False,score_2,Stroma,12,False,0.7213499731615673,70.44088176352706,72.03740814963261,,,,
seba_5fold_f0,primario,val,region_anotada,2496,4,score_1,False,False,score_2,Tejido Adiposo,27,False,0.20308116946432053,21.122244488977955,20.617531359014325,,,,
seba_5fold_f0,primario,val,lamina,4799,4,score_2,False,True,score_2,Nucleos alto grado,13,True,0.8639782699540326,88.12005002084202,86.30679449770739,0.0004997501249375312,0.03798100949525238,2000.0,0.5702366586968751
seba_5fold_f0,primario,val,lamina,4799,4,score_2,False,True,score_2,Mitosis,28,True,0.910426086175405,93.50771154647771,90.81164771035552,0.0004997501249375312,0.0022727272727272726,439.0,0.7231025981185621
seba_5fold_f0,primario,val,lamina,4799,4,score_2,False,True,score_2,Immune cells,23,False,0.4576414682106183,48.97874114214256,45.78356924080686,,,,
seba_5fold_f0,primario,val,lamina,4799,4,score_2,False,True,score_2,Tumor,48,False,0.8197265487967446,84.0662776156732,81.65945880227872,0.0004997501249375312,0.03459637561779242,606.0,0.7005555319078536
seba_5fold_f0,primario,val,lamina,4799,4,score_2,False,True,score_2,necrosis,18,False,0.6780891956587418,70.33138807836599,67.74582001759991,,,,
seba_5fold_f0,primario,val,lamina,4799,4,score_2,False,True,score_2,Stroma,12,False,0.6041013856973748,66.72571904960401,60.38627205780187,,,,
seba_5fold_f0,primario,val,lamina,4799,4,score_2,False,True,score_2,Tejido Adiposo,27,False,0.2417264288597063,25.03126302626094,24.312599385546445,,,,
seba_5fold_f0,primario,val,region_anotada,2496,4,score_2,False,True,score_2,Nucleos alto grado,13,True,0.8849096936088479,90.70140280561122,88.30584245413905,0.0004997501249375312,0.01649175412293853,2000.0,0.5450403394939506
seba_5fold_f0,primario,val,region_anotada,2496,4,score_2,False,True,score_2,Mitosis,28,True,0.9267336188932623,94.82965931863728,92.21156598912111,0.0004997501249375312,0.0007633587786259542,1309.0,0.7360613603945733
seba_5fold_f0,primario,val,region_anotada,2496,4,score_2,False,True,score_2,Immune cells,23,False,0.4733205576750646,51.342685370741485,47.355580726670745,,,,
seba_5fold_f0,primario,val,region_anotada,2496,4,score_2,False,True,score_2,Tumor,48,False,0.8438010620915033,86.8937875751503,83.73246492985972,0.0004997501249375312,0.018232044198895028,1809.0,0.7156395299352405
seba_5fold_f0,primario,val,region_anotada,2496,4,score_2,False,True,score_2,necrosis,18,False,0.6974262397991211,72.1442885771543,69.60810509908707,,,,
seba_5fold_f0,primario,val,region_anotada,2496,4,score_2,False,True,score_2,Stroma,12,False,0.6222155126140634,68.31663326653306,62.16766867067468,,,,
seba_5fold_f0,primario,val,region_anotada,2496,4,score_2,False,True,score_2,Tejido Adiposo,27,False,0.2522238723129772,26.2124248496994,25.480590811252135,,,,
seba_5fold_f0,primario,val,lamina,4799,4,score_3,True,False,score_2,Nucleos alto grado,13,True,0.8127069336847857,84.55606502709462,81.19248404784042,0.0004997501249375312,0.12393803098450774,2000.0,0.5845209866418709
seba_5fold_f0,primario,val,lamina,4799,4,score_3,True,False,score_2,Mitosis,28,True,0.9256969188849298,95.89412255106294,92.33013755731555,0.0004997501249375312,0.0024630541871921183,405.0,0.7530424640127272
seba_5fold_f0,primario,val,lamina,4799,4,score_3,True,False,score_2,Immune cells,23,False,0.35673840215570607,29.658190912880368,35.739529151639275,,,,
seba_5fold_f0,primario,val,lamina,4799,4,score_3,True,False,score_2,Tumor,48,False,0.8766838560303094,88.79741558982909,87.29939558149228,0.0004997501249375312,0.03231597845601436,556.0,0.737702630900048
seba_5fold_f0,primario,val,lamina,4799,4,score_3,True,False,score_2,necrosis,18,False,0.7355853029352297,81.63818257607338,73.47505905238295,,,,
seba_5fold_f0,primario,val,lamina,4799,4,score_3,True,False,score_2,Stroma,12,False,0.6340435902792285,65.70446019174656,63.373627900514094,,,,
seba_5fold_f0,primario,val,lamina,4799,4,score_3,True,False,score_2,Tejido Adiposo,27,False,0.2835444413399149,28.449353897457275,28.47173976811326,,,,
seba_5fold_f0,primario,val,region_anotada,2496,4,score_3,True,False,score_2,Nucleos alto grado,13,True,0.8282164874996127,86.09218436873748,82.66378911669493,0.0004997501249375312,0.09295352323838081,2000.0,0.5849944011885804
seba_5fold_f0,primario,val,region_anotada,2496,4,score_3,True,False,score_2,Mitosis,28,True,0.9364436212086131,96.71342685370742,93.17205840251935,0.0004997501249375312,0.000774593338497289,1290.0,0.7694742747182926
